127.0.0.1 - - [23/Apr/2020:13:15:38 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:15:43 +0200] "GET /MainApp/ HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:15:43 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:15:43 +0200] "GET /MainApp/scripts/login.js HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:16:48 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:16:48 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:16:48 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 25181
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:16:48 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:16:48 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:16:48 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:17:02 +0200] "GET /MainApp/api/post HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:17:02 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:21:42 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:21:42 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:21:42 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:21:42 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:21:42 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 24843
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:21:45 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:21:46 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:21:46 +0200] "GET /MainApp/api/post HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:09 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:09 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:09 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:09 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:09 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:11 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:12 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:12 +0200] "GET /MainApp/api/post HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:31 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:31 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:31 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:31 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 24836
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:31 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:33 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:34 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:22:34 +0200] "GET /MainApp/api/post HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:03 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:03 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:03 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:03 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 24830
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:03 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:05 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:06 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:06 +0200] "GET /MainApp/api/post HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:21 +0200] "POST /MainApp/?action=logout HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:21 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:21 +0200] "GET /MainApp/scripts/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:25 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:25 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:27 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:23:27 +0200] "GET /MainApp/api/post HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:17 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:17 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:17 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 24836
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:17 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:17 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:19 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:19 +0200] "GET /MainApp/api/post HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:19 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:52 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:53 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:53 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:53 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:53 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 24849
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:55 +0200] "GET /MainApp/images/test.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:56 +0200] "GET /MainApp/api/post HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:24:56 +0200] "GET /MainApp/api/user/4 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:25:29 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14456
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:25:29 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:25:29 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:25:29 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:13:25:29 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 24848
