127.0.0.1 - - [06/Jun/2020:12:07:53 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:07:57 +0200] "GET /AdminApp/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:01 +0200] "GET /AdminApp/login.xhtml HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 31351
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/javax.faces.resource/components.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 96256
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/styles/login.css HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 88237
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/javax.faces.resource/theme.css.xhtml?ln=primefaces-nova-light HTTP/1.1" 200 175017
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/javax.faces.resource/core.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 43146
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 267621
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/scripts/login.js HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:02 +0200] "GET /AdminApp/javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 435082
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:03 +0200] "GET /AdminApp/javax.faces.resource/fonts/open-sans-v13-latin-300.eot.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 18787
0:0:0:0:0:0:0:1 - - [06/Jun/2020:12:08:03 +0200] "GET /AdminApp/javax.faces.resource/fonts/open-sans-v13-latin-700.eot.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 18894
