127.0.0.1 - - [18/May/2020:00:00:21 +0200] "GET / HTTP/1.1" 404 709
127.0.0.1 - - [18/May/2020:00:00:36 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8527
127.0.0.1 - - [18/May/2020:00:00:36 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 67225
127.0.0.1 - - [18/May/2020:00:00:36 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 200 1739
127.0.0.1 - - [18/May/2020:00:00:36 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 200 629
127.0.0.1 - - [18/May/2020:00:00:36 +0200] "GET /MainApp/styles/index.css HTTP/1.1" 200 143
127.0.0.1 - - [18/May/2020:00:00:36 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 200 634
127.0.0.1 - - [18/May/2020:00:00:36 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 200 545
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/api/post HTTP/1.1" 200 199
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/api/user/2 HTTP/1.1" 200 459
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/api/user HTTP/1.1" 200 1095
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/api/post/1 HTTP/1.1" 200 2
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/api/post/getImagesForPosts/1 HTTP/1.1" 200 521
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/api/post/getCommentForPost/1 HTTP/1.1" 200 2
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/picturesForPost/1589749994757_IMG_20190328_084602.jpg HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/picturesForPost/1589749994806_IMG_20190328_084602.jpg HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/picturesForPost/1589749994845_IMG_20190328_084602.jpg HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2020:00:01:01 +0200] "GET /MainApp/picturesForPost/1589749994877_IMG_20190328_084602.jpg HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2020:00:01:23 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8527
127.0.0.1 - - [18/May/2020:00:01:23 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2020:00:01:23 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2020:00:01:23 +0200] "GET /MainApp/styles/index.css HTTP/1.1" 304 -
