127.0.0.1 - - [07/Apr/2020:18:54:00 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:54:03 +0200] "GET /MainPartSharingPotentialHazardsSystem/ HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:54:03 +0200] "GET /MainPartSharingPotentialHazardsSystem/styles/style.css HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:56:18 +0200] "GET /MainPartSharingPotentialHazardsSystem/?action= HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:56:18 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:56:24 +0200] "GET /MainPartSharingPotentialHazardsSystem/?action=signUp HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:56:25 +0200] "GET /MainPartSharingPotentialHazardsSystem/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:56:25 +0200] "GET /MainPartSharingPotentialHazardsSystem/scripts/updateUserProfile.js HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:56:45 +0200] "POST /MainPartSharingPotentialHazardsSystem/?action=signUp HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [07/Apr/2020:18:56:45 +0200] "GET /MainPartSharingPotentialHazardsSystem/scripts/updateUserProfile.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:19:00:27 +0200] "POST /MainPartSharingPotentialHazardsSystem/?action=signUp HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [07/Apr/2020:19:00:27 +0200] "GET /MainPartSharingPotentialHazardsSystem/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:19:00:27 +0200] "GET /MainPartSharingPotentialHazardsSystem/scripts/updateUserProfile.js HTTP/1.1" 200 3504
0:0:0:0:0:0:0:1 - - [07/Apr/2020:19:00:38 +0200] "POST /MainPartSharingPotentialHazardsSystem/?action=signUp HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [07/Apr/2020:19:00:39 +0200] "GET /MainPartSharingPotentialHazardsSystem/scripts/updateUserProfile.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:19:02:55 +0200] "POST /MainPartSharingPotentialHazardsSystem/?action=signUp HTTP/1.1" 200 2876
