127.0.0.1 - - [19/May/2020:10:49:34 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [19/May/2020:10:49:39 +0200] "GET /MainApp/ HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [19/May/2020:10:49:39 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [19/May/2020:10:49:39 +0200] "GET /MainApp/scripts/login.js HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:02 +0200] "POST /MainApp/?action=logout HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:02 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:09 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:09 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 64745
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:09 +0200] "GET /MainApp/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:09 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:10 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:19 +0200] "GET /MainApp/api/post HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:19 +0200] "GET /MainApp/api/user/2 HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:19 +0200] "GET /MainApp/api/user HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:19 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:28 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:28 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:44 +0200] "POST /MainApp/api/post/insertPost HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:44 +0200] "POST /MainApp/api/post/insertDangerGroupsForPost HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:45 +0200] "POST /MainApp/PictureForPostController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:49 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:49 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:49 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:49 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:49 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:49 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:49 +0200] "GET /MainApp/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:52 +0200] "GET /MainApp/api/user HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:52 +0200] "GET /MainApp/api/user/2 HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:52 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:52 +0200] "GET /MainApp/api/post HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [19/May/2020:10:50:53 +0200] "GET /MainApp/api/post/getImagesForPosts/1 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:40 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:40 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:40 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 64788
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:40 +0200] "GET /MainApp/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:41 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:41 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:41 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:45 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:45 +0200] "GET /MainApp/api/post HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:45 +0200] "GET /MainApp/api/user HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:45 +0200] "GET /MainApp/api/user/2 HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:45 +0200] "GET /MainApp/api/post/getImagesForPosts/1 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [19/May/2020:10:51:45 +0200] "GET /MainApp/[object%20Object] HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:09 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:10 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:10 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:10 +0200] "GET /MainApp/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:10 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 64790
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:10 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:10 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:11 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:11 +0200] "GET /MainApp/api/user HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:12 +0200] "GET /MainApp/api/user/2 HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:12 +0200] "GET /MainApp/api/post HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:12 +0200] "GET /MainApp/api/post/getImagesForPosts/1 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [19/May/2020:10:52:12 +0200] "GET /MainApp/[object%20Object] HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [19/May/2020:10:53:58 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [19/May/2020:10:53:58 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:53:58 +0200] "GET /MainApp/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:53:58 +0200] "GET /MainApp/styles/iconSocialNetworks.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:53:58 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 200 64843
0:0:0:0:0:0:0:1 - - [19/May/2020:10:53:58 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:53:58 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2020:10:54:00 +0200] "GET /MainApp/api/post/getDangerPostGroup HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [19/May/2020:10:54:00 +0200] "GET /MainApp/api/post HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [19/May/2020:10:54:00 +0200] "GET /MainApp/api/user/2 HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [19/May/2020:10:54:00 +0200] "GET /MainApp/api/user HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [19/May/2020:10:54:00 +0200] "GET /MainApp/api/post/getImagesForPosts/1 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [19/May/2020:10:54:00 +0200] "GET /MainApp/[object%20Object] HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [19/May/2020:10:54:28 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 8527
