127.0.0.1 - - [22/Apr/2020:09:43:17 +0200] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:23 +0200] "GET /MainApp/ HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:23 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:23 +0200] "GET /MainApp/scripts/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:32 +0200] "GET /MainApp/api/user/$%7BcurrentUserId%7D HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:38 +0200] "POST /MainApp/?action=logout HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:38 +0200] "GET /MainApp/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:38 +0200] "GET /MainApp/scripts/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:38 +0200] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:40 +0200] "GET /MainApp/api/post HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:44 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14461
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:45 +0200] "GET /MainApp/styles/weather.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:45 +0200] "GET /MainApp/scripts/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:45 +0200] "GET /MainApp/styles/post.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:45 +0200] "GET /MainApp/styles/sharePost.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:45 +0200] "GET /MainApp/images/test.png HTTP/1.1" 200 51275
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:46 +0200] "GET /MainApp/api/user/$%7BcurrentUserId%7D HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:43:46 +0200] "GET /MainApp/api/post HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [22/Apr/2020:09:46:35 +0200] "POST /MainApp/?action=login HTTP/1.1" 200 14461
